                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                    nan,                    nan,                    nan,                0.00283,                0.01657,                0.00452,                0.00179,                    nan,                    nan,                    nan,             0.00036526,             0.00036526,             0.00036526
                      1,                    nan,                    nan,                    nan,                0.00361,                0.01657,                0.00462,                0.00211,                    nan,                    nan,                    nan,             0.00049285,             0.00049285,             0.00049285
                      2,                    nan,                    nan,                    nan,                0.00385,                0.01657,                0.00521,                0.00249,                    nan,                    nan,                    nan,             0.00037602,             0.00037602,             0.00037602
